Name,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Baseline
11,-86.94488023,40.43793288,173.250,,-86.94488023,40.43793288,173.250,,,,,2.134,FIX,2021-06-01 11:25:08.4 UTC-04:00,2021-06-01 11:25:08.4 UTC-04:00,1,1.6,-86.92619664,40.45790787,188.082,2726.296
12,-86.94487864,40.43794335,173.243,,-86.94487864,40.43794335,173.243,,,,,2.134,FIX,2021-06-01 11:25:28.2 UTC-04:00,2021-06-01 11:25:28.2 UTC-04:00,1,1.6,-86.92619664,40.45790787,188.082,2725.272
13,-86.94487257,40.43795694,173.259,,-86.94487257,40.43795694,173.259,,,,,2.134,FIX,2021-06-01 11:26:15.8 UTC-04:00,2021-06-01 11:26:15.8 UTC-04:00,1,1.6,-86.92619664,40.45790787,188.082,2723.744
14,-86.94485439,40.43798098,173.318,,-86.94485439,40.43798098,173.318,,,,,2.134,FIX,2021-06-01 11:26:32.0 UTC-04:00,2021-06-01 11:26:32.0 UTC-04:00,1,1.6,-86.92619664,40.45790787,188.082,2720.676
15,-86.94483473,40.43799564,173.299,,-86.94483473,40.43799564,173.299,,,,,2.134,FIX,2021-06-01 11:26:54.2 UTC-04:00,2021-06-01 11:26:54.2 UTC-04:00,1,1.6,-86.92619664,40.45790787,188.082,2718.381
16,-86.94481974,40.43800376,173.272,,-86.94481974,40.43800376,173.272,,,,,2.134,FIX,2021-06-01 11:27:06.5 UTC-04:00,2021-06-01 11:27:06.5 UTC-04:00,1,1.6,-86.92619664,40.45790787,188.082,2716.908
17,-86.94480322,40.43801141,173.317,,-86.94480322,40.43801141,173.317,,,,,2.134,FIX,2021-06-01 11:27:16.0 UTC-04:00,2021-06-01 11:27:16.0 UTC-04:00,1,1.6,-86.92619664,40.45790787,188.082,2715.402
18,-86.94477787,40.43801913,173.246,,-86.94477787,40.43801913,173.246,,,,,2.134,FIX,2021-06-01 11:27:27.9 UTC-04:00,2021-06-01 11:27:27.9 UTC-04:00,1,1.6,-86.92619664,40.45790787,188.082,2713.455
19,-86.94474930,40.43802770,173.244,,-86.94474930,40.43802770,173.244,,,,,2.134,FIX,2021-06-01 11:27:39.8 UTC-04:00,2021-06-01 11:27:39.8 UTC-04:00,1,1.6,-86.92619664,40.45790787,188.082,2711.273
20,-86.94472478,40.43803565,173.245,,-86.94472478,40.43803565,173.245,,,,,2.134,FIX,2021-06-01 11:27:57.6 UTC-04:00,2021-06-01 11:27:57.6 UTC-04:00,1,1.6,-86.92619664,40.45790787,188.082,2709.346
